3 machines found
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
CRF loss
Parsing training data: ./train_petsc.txt
Parsing test data: ./test_petsc.txt
Data loading completed
====================  Summary of settings =================
Training data: ./train_petsc.txt
Test data: ./test_petsc.txt
loss: CRF, lambda: 1.000000e-06, Processors: 3
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err 
75 1.83737 0.0838495 57.5481 78 8.835202 34.962187 14.810291 49.752835
76 1.82937 0.0402447 58.3005 79 8.819790 35.020361 14.871364 50.159930
77 1.82278 0.0452834 59.0361 80 8.754287 34.991274 14.878998 50.189008
78 1.81673 0.118449 59.7712 81 8.823643 35.427574 14.894267 49.927304
79 1.80917 0.0486953 60.5123 82 8.781258 35.107621 14.783571 49.636522
80 1.80485 0.0459236 61.2482 83 8.704196 34.933101 14.775937 49.752835
81 1.79902 0.0449547 61.9895 84 8.684930 34.845841 14.753035 49.578366
82 1.79175 0.0658918 62.7482 85 8.580896 34.642234 14.642339 49.462053
83 1.78699 0.0490507 63.5046 86 8.534659 34.176847 14.695778 49.607444
84 1.78376 0.027252 64.2563 87 8.584749 34.176847 14.684327 49.723757
85 1.78036 0.0316382 64.9915 88 8.542365 34.293194 14.653790 49.840070
86 1.77546 0.0471367 65.7447 89 8.523099 34.293194 14.676693 49.578366
87 1.77102 0.0886684 66.4966 90 8.557778 34.554974 14.775937 49.810992
88 1.76588 0.038779 67.2363 91 8.496128 34.467714 14.680510 49.636522
89 1.76364 0.0285263 67.9829 92 8.480715 34.176847 14.722498 49.781913
90 1.76098 0.0315407 68.7215 93 8.473009 34.002327 14.665242 49.520209
91 1.75824 0.0741993 69.473 94 8.604015 34.118674 14.737766 49.665600
92 1.75494 0.033964 70.2085 95 8.604015 34.089587 14.688144 49.432975
93 1.75211 0.0291791 70.9515 96 8.588602 34.031414 14.649973 49.287584
94 1.74956 0.0376269 71.6923 97 8.542365 34.002327 14.600351 49.171271
95 1.74676 0.0611765 72.4318 98 8.607868 34.147760 14.630888 49.287584
96 1.74294 0.0305669 73.1672 99 8.573190 34.264107 14.516375 49.113114
97 1.74026 0.0275403 73.9055 100 8.526953 34.176847 14.493473 49.113114
98 1.73721 0.029747 74.6622 101 8.434478 34.002327 14.527827 49.054958
99 1.73505 0.0602564 76.1296 103 8.446037 34.002327 14.543095 48.938645
100 1.73181 0.0345783 76.8677 104 8.449890 34.060500 14.546912 48.967723
101 1.72852 0.0223121 77.605 105 8.430625 33.827807 14.596534 48.996801
102 1.72611 0.0381299 78.3749 106 8.426771 33.682373 14.653790 49.171271
103 1.72363 0.0316064 79.1253 107 8.434478 33.885980 14.600351 48.880489
104 1.72124 0.0250597 79.8672 108 8.469156 33.973240 14.535461 48.880489
105 1.71823 0.0593661 80.6013 109 8.376681 33.595113 14.596534 48.880489
106 1.71518 0.0356661 81.3364 110 8.380534 33.449680 14.604168 48.793254
107 1.71361 0.0250475 82.0707 111 8.322737 33.333333 14.592717 48.764176
108 1.71109 0.0238082 82.8139 112 8.288059 33.478767 14.634705 48.967723
109 1.70927 0.0558822 83.55 113 8.315031 33.507853 14.581266 49.054958
110 1.70712 0.0303336 84.2848 114 8.288059 33.595113 14.573632 48.938645
111 1.70493 0.0192464 85.0318 115 8.291912 33.507853 14.562180 49.025880
112 1.70365 0.0244909 85.7683 116 8.338150 33.624200 14.581266 49.054958
113 1.70116 0.0533578 86.5028 117 8.361268 33.333333 14.665242 49.636522
114 1.69839 0.0348203 87.2864 118 8.442184 33.566027 14.703412 49.432975
115 1.69701 0.0229783 88.0276 119 8.419065 33.653287 14.699595 49.316662
116 1.695 0.0229926 88.7791 120 8.446037 33.711460 14.726315 49.345740
117 1.69387 0.0345954 89.5113 121 8.449890 33.798720 14.787388 49.520209
118 1.6924 0.0214342 90.2614 122 8.415212 33.624200 14.779754 49.432975
119 1.69024 0.0192066 90.9984 123 8.461450 33.595113 14.718681 49.403896
120 1.68901 0.02438 91.736 124 8.457596 33.624200 14.787388 49.520209
121 1.68697 0.0190883 92.4768 125 8.407506 33.507853 14.795023 49.549288
122 1.68469 0.0321904 93.2284 126 8.469156 33.885980 14.833193 49.549288
123 1.6828 0.0367658 93.9647 127 8.368975 33.536940 14.779754 49.636522
124 1.6813 0.0200652 94.7153 128 8.388240 33.624200 14.764486 49.520209
125 1.68043 0.0180533 95.4569 129 8.388240 33.711460 14.749217 49.491131
126 1.67863 0.0208631 96.1976 130 8.330443 33.478767 14.745400 49.665600
127 1.6773 0.0435515 97.6924 132 8.299619 33.304247 14.795023 49.694679
128 1.67566 0.0231489 98.4341 133 8.276500 33.187900 14.760669 49.607444
129 1.67434 0.0168798 99.1748 134 8.334297 33.449680 14.756852 49.636522
130 1.67338 0.0208371 99.9132 135 8.372828 33.507853 14.745400 49.578366
131 1.67174 0.0257671 100.647 136 8.338150 33.449680 14.810291 49.549288
132 1.6705 0.0455485 101.387 137 8.411359 33.595113 14.886633 49.869148
133 1.66882 0.0171109 102.142 138 8.395947 33.507853 14.875181 49.723757
134 1.66772 0.0215269 102.91 139 8.330443 33.449680 14.856096 49.752835
135 1.66624 0.0237949 103.642 140 8.280353 33.449680 14.852279 49.869148
136 1.66499 0.0319071 104.381 141 8.272647 33.304247 14.779754 49.752835
137 1.66361 0.015754 105.116 142 8.184025 33.100640 14.787388 49.781913
138 1.66268 0.015386 105.887 143 8.184025 33.013380 14.749217 49.781913
139 1.66147 0.0205312 106.619 144 8.160906 33.100640 14.825559 49.840070
140 1.66029 0.0544251 107.366 145 8.187878 32.955207 14.890450 50.043617
141 1.65845 0.0223405 108.109 146 8.141641 32.809773 14.837010 50.043617
142 1.6573 0.0144928 108.844 147 8.164759 32.926120 14.798840 49.898226
143 1.6565 0.0164193 109.581 148 8.214850 33.013380 14.825559 49.869148
144 1.65555 0.0372354 110.322 149 8.261087 32.809773 14.905718 50.072696
145 1.65408 0.0156143 111.074 150 8.207144 32.780686 14.913352 50.101774
146 1.65319 0.0131014 111.815 151 8.153200 32.606166 14.871364 50.043617
147 1.65206 0.021136 112.551 152 8.060725 32.402560 14.859913 50.014539
148 1.65123 0.039838 113.303 153 8.076138 32.315300 14.890450 50.276243
149 1.64987 0.0162449 114.04 154 8.072285 32.344386 14.833193 50.014539
150 1.64907 0.012818 114.776 155 8.091550 32.431646 14.878998 50.014539
151 1.64837 0.0143898 115.512 156 8.141641 32.518906 14.852279 49.927304
152 1.64695 0.0217639 116.251 157 8.137788 32.635253 14.856096 49.810992
153 1.64606 0.0278391 117.72 159 8.222556 32.984293 14.917169 50.101774
154 1.6451 0.0141925 118.456 160 8.214850 33.071553 14.878998 50.159930
155 1.64415 0.0135222 119.207 161 8.180172 32.926120 14.917169 50.334400
156 1.64317 0.0199448 119.954 162 8.106963 32.867946 14.875181 50.130852
157 1.64228 0.022226 120.701 163 8.103109 32.664340 14.894267 50.101774
158 1.64152 0.0131046 121.433 164 8.149347 32.751600 14.898084 50.189008
159 1.64063 0.0129332 122.172 165 8.141641 32.867946 14.894267 49.956383
160 1.6399 0.0172657 122.906 166 8.122375 32.867946 14.905718 50.014539
161 1.63874 0.0166285 123.639 167 8.141641 32.838860 14.878998 49.810992
162 1.63823 0.02806 124.391 168 8.110816 32.780686 14.947706 49.810992
163 1.63747 0.0113629 125.14 169 8.068431 32.577080 14.920986 49.869148
164 1.63699 0.00978021 125.891 170 8.072285 32.606166 14.955340 50.014539
165 1.63638 0.0126668 126.641 171 8.049166 32.722513 14.962974 50.130852
