32 machines found
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
CRF loss
Parsing training data: ./train_petsc.txt
Parsing test data: ./test_petsc.txt
Data loading completed
====================  Summary of settings =================
Training data: ./train_petsc.txt
Test data: ./test_petsc.txt
loss: CRF, lambda: 1.000000e-06, Processors: 32
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err 
62 1.93592 0.064153 23.3278 64 9.659770 37.260035 14.810291 49.781913
63 1.9296 0.049834 23.6884 65 9.567295 37.318208 14.775937 49.549288
64 1.92086 0.0652599 24.0722 66 9.590413 37.289122 14.733949 49.636522
65 1.90754 0.0805639 24.4432 67 9.625092 37.230948 14.768303 49.491131
66 1.90207 0.142018 24.8337 68 9.443995 37.085515 14.947706 49.869148
67 1.89073 0.0485413 25.1717 69 9.355373 36.678301 14.814108 49.752835
68 1.88586 0.0474163 25.4491 70 9.282164 36.561955 14.806474 49.694679
69 1.8779 0.0636647 25.6875 71 9.170423 36.242001 14.783571 49.636522
70 1.87216 0.147615 25.9907 72 9.255192 36.503781 14.726315 49.607444
71 1.86229 0.0581287 26.2929 73 9.093361 36.009308 14.829376 49.898226
72 1.85697 0.0395476 26.6251 74 9.054830 35.834788 14.768303 49.665600
73 1.85206 0.0488532 26.891 75 9.031711 35.718441 14.768303 49.636522
74 1.84238 0.0555354 27.1789 76 8.896852 35.398487 14.821742 49.665600
75 1.83737 0.0838495 27.6208 78 8.835202 34.962187 14.810291 49.752835
76 1.82937 0.0402447 27.8502 79 8.819790 35.020361 14.871364 50.159930
77 1.82278 0.0452834 28.1357 80 8.754287 34.991274 14.878998 50.189008
78 1.81673 0.118449 28.3609 81 8.823643 35.427574 14.894267 49.927304
79 1.80917 0.0486952 28.6028 82 8.781258 35.107621 14.783571 49.636522
80 1.80485 0.0459236 28.839 83 8.704196 34.933101 14.775937 49.752835
81 1.79902 0.0449548 29.1359 84 8.684930 34.845841 14.753035 49.578366
82 1.79175 0.0658918 29.3648 85 8.580896 34.642234 14.642339 49.462053
83 1.78699 0.0490508 29.6114 86 8.534659 34.176847 14.695778 49.607444
84 1.78376 0.027252 29.8758 87 8.584749 34.176847 14.684327 49.723757
85 1.78036 0.0316382 30.1089 88 8.542365 34.293194 14.653790 49.840070
86 1.77546 0.0471367 30.4625 89 8.523099 34.293194 14.676693 49.578366
87 1.77102 0.0886687 30.7082 90 8.557778 34.554974 14.775937 49.810992
88 1.76588 0.0387789 30.9546 91 8.496128 34.467714 14.680510 49.636522
89 1.76364 0.0285262 31.2074 92 8.480715 34.176847 14.722498 49.781913
90 1.76098 0.0315408 31.4916 93 8.473009 34.002327 14.665242 49.520209
91 1.75824 0.0741991 31.7442 94 8.604015 34.118674 14.737766 49.665600
92 1.75494 0.0339639 31.9882 95 8.604015 34.089587 14.688144 49.432975
93 1.75211 0.0291792 32.235 96 8.588602 34.031414 14.649973 49.287584
94 1.74956 0.0376269 32.5131 97 8.542365 34.002327 14.600351 49.171271
95 1.74676 0.0611762 32.7643 98 8.607868 34.147760 14.630888 49.287584
96 1.74294 0.0305669 33.0459 99 8.573190 34.264107 14.516375 49.113114
97 1.74026 0.0275402 33.3041 100 8.526953 34.176847 14.493473 49.113114
98 1.73721 0.0297469 33.5325 101 8.434478 34.002327 14.527827 49.054958
99 1.73505 0.0602562 33.9688 103 8.446037 34.002327 14.543095 48.938645
100 1.73181 0.0345782 34.3304 104 8.449890 34.060500 14.546912 48.967723
101 1.72852 0.0223122 34.5739 105 8.430625 33.827807 14.596534 48.996801
102 1.72611 0.0381304 34.7963 106 8.426771 33.682373 14.653790 49.171271
103 1.72363 0.031606 35.0384 107 8.434478 33.885980 14.600351 48.880489
104 1.72124 0.0250595 35.291 108 8.469156 33.973240 14.535461 48.880489
105 1.71823 0.059362 35.532 109 8.376681 33.595113 14.596534 48.880489
106 1.71518 0.0356674 35.7705 110 8.380534 33.449680 14.604168 48.793254
107 1.71361 0.0250468 36.0685 111 8.322737 33.333333 14.592717 48.764176
108 1.71109 0.023807 36.2942 112 8.288059 33.478767 14.634705 48.967723
109 1.70927 0.055875 36.5716 113 8.311178 33.478767 14.581266 49.054958
110 1.70711 0.0303348 36.8142 114 8.288059 33.595113 14.573632 48.938645
111 1.70493 0.0192468 37.0643 115 8.291912 33.507853 14.562180 49.025880
112 1.70365 0.0244923 37.2927 116 8.342003 33.624200 14.581266 49.054958
113 1.70116 0.0533632 37.6196 117 8.361268 33.333333 14.665242 49.636522
114 1.69839 0.0348125 37.8744 118 8.442184 33.566027 14.703412 49.432975
115 1.69701 0.0229764 38.1142 119 8.419065 33.653287 14.699595 49.316662
116 1.695 0.0229877 38.3344 120 8.446037 33.711460 14.722498 49.316662
117 1.69387 0.0345878 38.5638 121 8.449890 33.798720 14.787388 49.520209
118 1.6924 0.0214355 38.8031 122 8.415212 33.624200 14.779754 49.432975
119 1.69024 0.0192091 39.1108 123 8.461450 33.595113 14.718681 49.403896
120 1.68901 0.0244334 39.3922 124 8.457596 33.624200 14.787388 49.520209
121 1.68697 0.0190823 39.7207 125 8.407506 33.507853 14.795023 49.549288
122 1.68469 0.0321665 39.986 126 8.469156 33.885980 14.833193 49.549288
123 1.68281 0.0373265 40.212 127 8.376681 33.566027 14.779754 49.636522
124 1.68131 0.0199053 40.5112 128 8.388240 33.624200 14.772120 49.549288
125 1.68043 0.0179475 40.7427 129 8.392093 33.711460 14.741583 49.462053
126 1.67865 0.0210845 40.969 130 8.357415 33.478767 14.745400 49.665600
127 1.67732 0.0433644 41.4206 132 8.299619 33.304247 14.798840 49.723757
128 1.67568 0.0230536 41.6486 133 8.280353 33.216987 14.760669 49.607444
129 1.67436 0.0168788 41.9174 134 8.342003 33.449680 14.756852 49.636522
130 1.6734 0.0207626 42.1967 135 8.380534 33.536940 14.745400 49.578366
131 1.67175 0.0255366 42.4298 136 8.334297 33.449680 14.810291 49.549288
132 1.67049 0.0453016 42.7151 137 8.419065 33.653287 14.890450 49.869148
133 1.6688 0.0171715 42.9548 138 8.372828 33.507853 14.867547 49.723757
134 1.6677 0.0213295 43.1825 139 8.330443 33.449680 14.859913 49.781913
135 1.66622 0.0241747 43.4841 140 8.284206 33.478767 14.852279 49.869148
136 1.66502 0.0322454 43.8075 141 8.261087 33.246073 14.775937 49.752835
137 1.66366 0.0155209 44.14 142 8.191731 33.100640 14.775937 49.694679
138 1.66275 0.0150061 44.3787 143 8.195584 33.042467 14.756852 49.810992
139 1.66158 0.0205125 44.6566 144 8.160906 33.100640 14.814108 49.840070
140 1.66041 0.0547725 44.8831 145 8.191731 32.955207 14.886633 50.014539
141 1.65853 0.0219533 45.1299 146 8.160906 32.838860 14.833193 50.072696
142 1.65739 0.0145367 45.4225 147 8.160906 32.926120 14.802657 49.927304
143 1.65657 0.0167709 45.6567 148 8.207144 32.984293 14.829376 49.869148
144 1.65574 0.0404873 45.9322 149 8.264940 32.838860 14.898084 50.014539
145 1.65426 0.0160679 46.2058 150 8.210997 32.809773 14.886633 50.072696
146 1.65341 0.0128646 46.4986 151 8.160906 32.635253 14.852279 50.014539
147 1.65234 0.0187066 46.7348 152 8.091550 32.547993 14.863730 49.985461
148 1.65113 0.0349474 46.969 153 8.076138 32.315300 14.871364 50.101774
149 1.64972 0.0170382 47.2053 154 8.091550 32.402560 14.863730 50.043617
150 1.64896 0.0125954 47.4528 155 8.068431 32.315300 14.878998 50.014539
151 1.64806 0.0152387 47.7033 156 8.141641 32.577080 14.871364 49.985461
152 1.64729 0.0348525 47.9445 157 8.160906 32.751600 14.806474 49.752835
153 1.64626 0.014983 48.1935 158 8.180172 32.867946 14.871364 49.985461
154 1.64532 0.0156192 48.4402 159 8.191731 32.897033 14.871364 50.101774
155 1.64437 0.0188807 48.6693 160 8.187878 33.013380 14.943889 50.392556
156 1.64387 0.0483317 49.0011 161 8.103109 32.809773 14.924803 50.305321
157 1.6424 0.013803 49.2478 162 8.126228 32.897033 14.943889 50.276243
158 1.64189 0.0103825 49.4773 163 8.133934 32.867946 14.898084 50.189008
159 1.64127 0.0135808 49.7837 164 8.141641 32.751600 14.894267 50.072696
160 1.64018 0.0194088 50.0041 165 8.122375 32.780686 14.901901 50.043617
161 1.63938 0.0285317 50.4442 167 8.126228 32.809773 14.943889 49.956383
162 1.63841 0.0116734 50.8029 168 8.130081 32.809773 14.920986 49.810992
163 1.63781 0.0100854 51.1198 169 8.114669 32.751600 14.928621 49.898226
164 1.63708 0.0161209 51.4237 170 8.106963 32.722513 14.943889 49.840070
165 1.6364 0.0177942 51.6744 171 8.041460 32.693426 14.993511 50.189008
166 1.63573 0.0122615 51.9752 172 8.114669 32.780686 15.039316 50.247165
167 1.63471 0.0142568 52.1931 173 8.076138 32.780686 15.043133 50.130852
168 1.63412 0.0182838 52.4376 174 8.137788 32.751600 15.035499 50.276243
169 1.63352 0.0139675 52.6858 175 8.087697 32.635253 15.058401 50.334400
170 1.63265 0.0211612 52.9705 176 8.087697 32.635253 15.092755 50.189008
171 1.63206 0.0168725 53.2528 177 8.041460 32.518906 15.096572 50.276243
172 1.63168 0.012853 53.59 178 8.041460 32.577080 15.104206 50.276243
173 1.6306 0.0109938 53.8161 179 8.049166 32.664340 15.157646 50.479791
174 1.63022 0.0253176 54.0679 180 8.053019 32.751600 15.176731 50.596104
175 1.62971 0.0134681 54.3063 181 8.049166 32.693426 15.150011 50.537947
176 1.62908 0.0100154 54.5745 182 8.022194 32.635253 15.134743 50.363478
177 1.6287 0.0119949 54.8816 183 8.014488 32.693426 15.153829 50.363478
178 1.62797 0.017033 55.1051 184 8.041460 32.635253 15.119475 50.305321
179 1.62738 0.0200397 55.3339 185 8.033753 32.838860 15.058401 50.334400
180 1.62688 0.0125511 55.6981 186 7.991369 32.693426 15.081304 50.363478
181 1.62609 0.0109883 55.9849 187 7.995222 32.547993 15.100389 50.421634
182 1.62554 0.0124779 56.2146 188 7.975957 32.664340 15.123292 50.508869
183 1.62492 0.0171916 56.4864 189 7.960544 32.547993 15.180548 50.741495
184 1.62437 0.00985569 56.7447 190 7.983663 32.693426 15.241621 50.886886
185 1.62395 0.0103568 57.0227 191 7.918160 32.460733 15.222536 50.799651
186 1.62343 0.0133241 57.3258 192 7.968250 32.664340 15.203451 50.654260
187 1.62311 0.021351 57.6376 193 7.937425 32.431646 15.233987 50.508869
188 1.6227 0.00804371 57.8787 194 7.972103 32.431646 15.199634 50.537947
189 1.62243 0.00879584 58.1268 195 8.006781 32.547993 15.184365 50.479791
